type,bus_or_line,time,value
voltage,39,41,0.9499999999999998
voltage,39,112,0.9499999999999998
voltage,39,138,0.9499999999999998
voltage,39,1002,0.9499999999999998
voltage,39,7003,0.9499999999999998
