time,bus,P_sub_kW,Q_sub_kVar
0,129,59.434957824728556,23.53375917964005
1,129,56.2198951980568,22.261577961189314
2,129,51.19350522113822,20.28093424244006
3,129,43.20681320866049,17.119926733126167
4,129,39.450966913451936,15.641467223424778
5,129,37.81466767739206,14.954340258651436
6,129,39.504642681527926,15.671680566672764
7,129,42.90375048044384,17.024050537039905
8,129,49.99442877562537,19.832477444263507
9,129,52.78732332010441,22.282119719707666
10,129,22.98166576739055,21.547558322918313
11,129,-18.228169725223054,20.056264384730195
12,129,-39.14751600847483,19.916752944961072
13,129,-34.500494454956815,19.732454959707443
14,129,0.7552615361437865,23.0721570143687
15,129,56.403912105356085,28.631537849560605
16,129,89.76658324140138,35.6755633101957
17,129,112.72732783521714,44.60394230006397
18,129,111.7991453571718,44.237085238722806
19,129,102.96846393300963,40.74542444703381
20,129,92.34295193636035,36.54752888735309
21,129,78.94476008110635,31.24620895098507
22,129,69.36462828549611,27.45234339801371
23,129,57.065501299139136,22.5898762997204
24,129,51.851739633516594,20.529243265156204
25,129,46.37713713072393,18.364002036701432
26,129,41.45382685040453,16.422674068380335
27,129,39.2775178149628,15.56402963337274
28,129,38.59870352381183,15.294236903124006
29,129,40.845318931692745,16.18810595773077
30,129,46.69633566356135,18.505061074851195
31,129,91.26035427512052,36.097158314751034
32,129,108.76215410380247,43.02032907007937
33,129,116.08609703250323,46.49899094409002
34,129,82.73288806686811,39.016591785134075
35,129,47.2434148237922,31.73242507479481
36,129,41.31888543888587,32.497710705715846
37,129,48.17675509829597,34.26266035871735
38,129,70.80387481980604,37.33706126892748
39,129,107.3361779734062,44.40014728415437
40,129,145.97025603672319,57.74867137410043
41,129,197.1866002953135,77.963960832415
42,129,182.71486226203046,72.24288082883675
43,129,170.4347179113903,67.38647585739199
44,129,155.9388290565111,61.66162802274866
45,129,90.28385756681118,35.75612294390011
46,129,78.92862335321834,31.25772617360778
47,129,67.87772064768681,26.882659142111084
48,129,57.97662430444403,22.96795055098961
49,129,49.430490547562236,19.584272665237712
50,129,42.443188768015546,16.8271203457664
51,129,38.36146004849683,15.201928544768199
52,129,37.88693398659136,15.01434229727407
53,129,38.184777490705336,15.13650649399621
54,129,42.067019423209516,16.678304420527695
55,129,50.0213443470395,19.825062872497988
56,129,60.734925000779754,24.065326960523667
57,129,61.98028026129545,26.46940596706675
58,129,21.63688364623546,24.654407037324546
59,129,-24.425378519669128,21.85772237713015
60,129,-41.99115725126837,22.692701054389488
61,129,-37.762335085394746,23.069047331859696
62,129,-1.3425524983368105,26.15630867359526
63,129,60.35672747933285,32.56696715800689
64,129,99.47662195166122,39.680396478105536
65,129,129.69603281572864,51.34158438131692
66,129,124.82966286454467,49.422761149632215
67,129,112.29039357616631,44.477402288579704
68,129,101.5205276145539,40.2193956530732
69,129,90.42888577038443,35.82519603594277
70,129,79.50132181264253,31.494348409856126
71,129,70.45358188988718,27.90352651127636
72,129,58.938163592647726,23.338870889032293
73,129,50.001013792986534,19.799180661253537
74,129,45.82669688060143,18.147853979582045
75,129,43.041547499060485,17.045588483641016
76,129,40.889396766029684,16.192004545740392
77,129,40.60728033407732,16.081973438536
78,129,43.122268182811816,17.07893443972747
79,129,48.95193682352402,19.39494441706164
80,129,61.98144687112276,24.546023391137894
81,129,64.38505093295446,27.63043057463875
82,129,34.82155412147286,27.01696702883146
83,129,2.0771470803333587,25.796139887403978
84,129,-25.93868706447898,24.18574042192362
85,129,-19.69791389992485,23.966692012388894
86,129,13.055006438516394,24.335072286948826
87,129,55.93761011485645,28.598015339399765
88,129,97.91572784625355,39.165117123669646
89,129,127.65728181237249,50.53147727790811
90,129,124.71628319734373,49.36762744540155
91,129,117.13421326728619,46.365011928520524
92,129,107.52020106883128,42.56096563338072
93,129,93.36939100283668,36.959115071690434
94,129,82.55203839104837,32.676340574711084
95,129,65.04714290656946,25.759344731945127
96,129,50.8768511845856,20.16186453965421
97,129,43.599609554266856,17.279714863084024
98,129,41.08996012096964,16.28630142090238
99,129,41.30984618297039,16.371709575696002
100,129,42.016471771584555,16.65543856135352
101,129,46.81576436629271,18.55970499879245
102,129,54.46259027783049,21.583489222984912
103,129,102.12762260788696,40.393777614610435
104,129,115.34169221888055,45.61945121265591
105,129,118.81694850680553,47.95495895599984
106,129,85.34009974722028,41.66928996767694
107,129,45.83985120174542,33.72898964652267
108,129,36.44392519802323,32.80567770209748
109,129,39.06008892847034,32.25941399593531
110,129,52.234045228533425,32.89699377326468
111,129,96.61080857513483,42.00142264053158
112,129,143.2108490414522,56.688189592131984
113,129,197.50084759669372,78.0887379055987
114,129,183.2416243351637,72.45286705199992
115,129,171.39398444551352,67.77017721978355
116,129,154.98841789261868,61.28605223692215
117,129,88.81926920241189,35.171301590444195
118,129,78.10888891310489,30.93224744915657
119,129,63.6835977463905,25.229468697567295
120,129,52.296677822101856,20.71854311341257
121,129,45.83967681732168,18.1590237522986
122,129,43.742540142724415,17.330121921755538
123,129,42.910428096371966,17.001269269605164
124,129,43.735923575447345,17.326029087437803
125,129,46.269002165449365,18.331685362662803
126,129,54.79844514501279,21.714771636555962
127,129,102.95266569881106,40.71991778685712
128,129,112.06674420197086,44.390892322268435
129,129,98.88048700570762,40.75054900246146
130,129,68.1367791911042,35.91407297847226
131,129,37.69059069855016,32.73957191401561
132,129,30.59272714477936,34.04474231467174
133,129,29.936301990741416,32.632296939938506
134,129,48.30367717790323,33.1806077490663
135,129,96.13717640729286,42.772874135805694
136,129,155.7899417884228,61.725053468794144
137,129,210.01412524077227,83.0409833527334
138,129,196.2955761469671,77.61750403700343
139,129,185.24251999370364,73.2489410177457
140,129,170.77064909956977,67.52917729941551
141,129,99.75726666278338,39.51644274442685
142,129,88.21672250252561,34.953913717571595
143,129,74.46356947215176,29.501852606792447
144,129,61.64636564566105,24.419667764276404
145,129,52.480741119996324,20.78667239825243
146,129,48.296424755642356,19.129958979075795
147,129,46.26598018266893,18.328960591612567
148,129,44.59340529048934,17.66644322768801
149,129,45.62310688979713,18.071991599959397
150,129,52.625592033593,20.8485177736014
151,129,99.50313276095312,39.350521298945154
152,129,114.25117706601917,45.21674675318897
153,129,110.5915880115718,44.86528709085898
154,129,76.38910863071834,39.298176194030475
155,129,44.13568933154083,33.927744194791345
156,129,37.45049854631415,34.35941509126543
157,129,37.68859708424494,32.47741948742604
158,129,55.80496692210139,33.34933227799215
159,129,97.49465937167011,41.7352785064881
160,129,152.50481264275527,60.41179464145793
161,129,204.8842349715722,81.00437248723519
162,129,192.1536640674526,75.9714579621443
163,129,177.34948979035693,70.11745250409912
164,129,160.22880776866725,63.349493750783786
165,129,95.9561566657164,37.972496063590626
166,129,85.85800114794206,33.982950571345135
167,129,70.86467915317976,28.057062167738962
168,129,57.024319281262194,22.57506155466251
169,129,48.481782232275656,19.195832629741318
170,129,42.50459181049333,16.836451645465086
171,129,40.56891734194176,16.069919480327105
172,129,38.89586631434376,15.405745102243396
173,129,41.32511274186642,16.36885095333199
174,129,50.0283065417811,19.825097228759226
175,129,93.33624831818543,36.914988485471795
176,129,106.87736688640379,42.31600317007921
177,129,96.7559826851747,39.347797014690265
178,129,60.95171956466468,32.04075751804297
179,129,22.89906073147193,26.461936969633914
180,129,13.642758131419262,26.300186731334314
181,129,20.864244494613516,27.680099242493586
182,129,42.208815717920956,29.717346187420112
183,129,82.37447779070455,37.462125059740885
184,129,131.39057796696355,52.10138227703352
185,129,184.25139745711365,72.86367974167743
186,129,179.2622554563647,70.89030545773666
187,129,162.03056272079832,64.07691007758872
188,129,152.86714736409957,60.45365939615506
189,129,88.87851371644787,35.21272213635371
190,129,77.582840983985,30.7423952473327
191,129,62.30809676245816,24.688865023641398
192,129,52.059198630773416,20.626163434297226
193,129,46.52885993824474,18.434386134859004
194,129,43.43216870982604,17.213449399527697
195,129,40.706331150389715,16.146599238025562
196,129,39.59121423847041,15.702898942117123
197,129,42.800620997513775,16.97133772776712
198,129,52.947452731417656,20.992117236250454
199,129,103.46805665649224,40.92799510454609
200,129,122.00241409383108,48.262221241210696
201,129,117.40771241733579,47.369345247707095
202,129,83.53782634987746,40.40713207322964
203,129,56.016931736248665,36.684660271839356
204,129,48.86620550694343,37.1400175855484
205,129,54.04097142209786,38.242766253573855
206,129,71.07387474551587,38.99557122780147
207,129,107.18450573760727,45.304922000058205
208,129,142.68780015730295,56.46901703461795
209,129,180.17501224029633,71.25235964873802
210,129,167.40024857890467,66.20339197542899
211,129,153.68126315855412,60.782837180042584
212,129,140.09054838112786,55.411213444393404
213,129,85.48461043571386,33.881614551862576
214,129,75.19335522812149,29.811152721480443
215,129,63.945535778981736,25.35977327657437
216,129,55.524689504165444,22.037522283744373
217,129,47.55655579445432,18.88378980908089
218,129,42.14175948563693,16.742244734931543
