time,bus,P_sub_kW,Q_sub_kVar
166,129,71.35704932459952,35.50039019036491
167,129,58.28181435321006,35.40602806081465
168,129,46.74942915527036,32.749568079927556
169,129,40.083815976832526,29.480631886391155
170,129,35.79382566222855,30.32204670863239
171,129,34.2669865430264,29.718426051613164
172,129,33.13602773527863,29.2712317593928
173,129,35.4200637467389,28.27167535855453
174,129,42.67510530386942,31.140548582295107
175,129,80.47008033802538,39.10036173391338
176,129,91.93390165431758,35.39105157219287
177,129,84.6220579320649,32.58829590454388
178,129,67.74281865368448,34.73961646396829
179,129,52.96018319677076,37.94071130463183
180,129,51.90502628120042,36.550759897178054
181,129,53.31102025121548,36.9818788073249
182,129,60.255786869912065,37.28354490786681
183,129,78.62434387878642,38.78317057539399
184,129,112.32061062254606,43.45691230080338
185,129,154.9137544691591,54.572785358532236
186,129,151.96294720764547,54.04051881278226
187,129,138.80070120585742,52.0090379874736
188,129,129.84325573265954,48.468492372774925
189,129,75.4885315905951,37.136442534883194
190,129,67.04110830345317,38.87067518783723
191,129,54.61469100120031,35.86042243456879
192,129,45.69254032077086,32.33298827850943
193,129,40.38446913262922,30.234471798104632
194,129,37.37589418201209,29.045590365488096
195,129,35.1422184767744,30.06623638304837
196,129,34.19669767943634,29.692303946903444
197,129,36.134716894062,27.921512927009434
198,129,44.00755742667695,31.668227492555967
199,129,86.16143514652286,41.350331613261055
200,129,99.37968114570661,38.33094024983127
201,129,99.860603136178,38.59901161376718
202,129,84.05705373731648,41.14011037853695
203,129,73.69434221948113,37.64892240448739
204,129,74.20028385671978,38.12614389009651
205,129,76.47977548035601,38.947512051501505
206,129,80.23683184485786,39.92727114512483
207,129,94.06673386693842,44.720574328807224
208,129,118.00926918465603,45.69685695965521
209,129,152.8900250731946,57.57780098594685
210,129,142.93976530982977,53.645131402059896
211,129,130.23435947102502,50.526150249220194
212,129,118.650357205624,45.94761540826301
213,129,72.06172956216727,35.78281237778419
214,129,63.71919576950014,37.55869884175246
215,129,54.43398083044349,35.79094746099413
216,129,47.3618274438069,34.264590268165
217,129,40.69638899705136,30.36141914742343
218,129,35.968567240588,27.858523078195983
219,129,33.39553045983923,26.841306256793683
220,129,32.99521661527671,26.68283565009489
221,129,34.198258720522844,27.792160681975055
222,129,37.84726507637453,29.23580453442376
223,129,44.491861946787616,33.13014344032758
224,129,56.73793140613642,29.72621630732158
225,129,66.39565389365887,33.76131348049898
226,129,62.65092193980032,33.691025534356726
227,129,57.16652258867128,37.986610281242164
228,129,57.05906272120082,38.64054028454053
229,129,58.691043509335906,39.17215114305414
230,129,63.39785141850851,40.03220745120494
231,129,72.17474843625487,36.811201643096815
232,129,86.97890080608956,41.753138180532574
233,129,107.51682440301235,41.551362940286296
234,129,103.1078962949048,39.80890452534561
235,129,91.50820237562041,43.468669468702444
236,129,81.5680720740093,39.54048346165265
237,129,73.10277766083223,36.19459523917766
238,129,66.01142217719136,38.465170692508025
239,129,59.50626426749239,35.89320302163759
240,129,50.1418078811226,35.360875611619264
241,129,43.2112691274813,31.351885891769502
242,129,38.869388501381884,29.63630232079841
243,129,37.05795450518845,28.286053667654645
244,129,35.30470115903383,27.592582184316438
245,129,35.27151601029171,28.21465642425997
246,129,37.74344717631156,29.19232875776663
247,129,44.14950314316302,32.99470464847404
248,129,54.73639034068955,37.17993153385364
249,129,63.47653308676987,37.7388375799506
