experiment,PV_share,PV_scenario,reactive_mode,PV_used_MWh,PV_curtailed_MWh,Curtailment_%,Max_line_loading_%,Critical_line,Max_import_MW,Max_export_MW,Annual_import_MWh
EX1,0.25,PV_EVERYWHERE,unity_pf,39.089737037436855,57.81033195135362,59.65974282024629,79.60645355632381,14->34,0.18224375703479367,0.0,348.5173487579151
EX1,0.5,PV_EVERYWHERE,unity_pf,55.8057361263022,137.99873593222327,71.2051349829276,79.6019184127903,14->34,0.18223115972856616,0.0,331.8034026023002
EX1,0.75,PV_EVERYWHERE,unity_pf,66.66874190248036,224.03820078135166,77.06668396461788,79.59738330962611,14->34,0.18221856242234225,-6.143429022971001e-07,320.94054079363497
EX1,1.0,PV_EVERYWHERE,unity_pf,74.7984679315222,312.8108015621655,80.70261115550016,79.59284824683814,14->34,0.1822059651161112,-1.767083372657e-07,312.8108178508475
EX1,1.5,PV_EVERYWHERE,unity_pf,86.59622971358152,494.81767903651536,85.1059239536008,79.58377824241857,14->34,0.18218077050365977,-5.952931627335e-07,301.01304595912904
EX1,2.0,PV_EVERYWHERE,unity_pf,94.99053704487642,680.2280092766259,87.7466119076205,79.5747083995868,14->34,0.1821555758912048,0.0,292.61873611587544
EX2,0.25,PV_EVERYWHERE,unity_pf,39.46174265172785,57.44057563845965,59.276781662174315,79.60645355632381,14->34,0.18224375703479723,0.0,348.1475348039564
EX2,0.5,PV_EVERYWHERE,unity_pf,56.376975031732194,137.42766155497438,70.91040956261662,79.6019184127903,14->34,0.1822311597285697,0.0,331.23229813034925
EX2,0.75,PV_EVERYWHERE,unity_pf,67.41440986269798,223.29254500786453,76.81018333644123,79.59738330962611,14->34,0.18221856242234225,0.0,320.1948632980523
EX2,1.0,PV_EVERYWHERE,unity_pf,75.4350185782005,312.1742545825495,80.53838651406156,79.59284824683816,14->34,0.18220596511611475,0.0,312.1742545825496
EX2,1.5,PV_EVERYWHERE,unity_pf,97.4673775662248,483.9465313887722,83.23614621786265,79.58377824241859,14->34,0.18218077050365625,0.0,290.92663717786786
EX3,0.25,PV_EVERYWHERE,reactive_support,39.45655936449991,57.44350958688838,59.281185460978335,81.61945790267329,14->34,0.18224375703479742,0.0,348.15050191582327
EX3,0.5,PV_EVERYWHERE,reactive_support,56.43188650144732,137.37258554797188,70.88205142807156,83.89042395665224,14->34,0.18223115972856976,0.0,331.17722354143376
EX3,0.75,PV_EVERYWHERE,reactive_support,67.41294622319899,223.29399661788798,76.81068585277998,100.35784321357824,14->34,0.18221856242234208,0.0,320.19631542839807
EX3,1.0,PV_EVERYWHERE,reactive_support,75.39433279030801,312.21493671265944,80.54888292868063,106.7456984894082,35->36,0.18220596511611442,0.0,312.21493772209806
EX3,1.5,PV_EVERYWHERE,reactive_support,97.45293094262881,483.96097795841087,83.23863095624431,108.2392200292394,34->35,0.18218077050365902,0.0,290.94108376751456
EX3,2.0,PV_EVERYWHERE,reactive_support,113.80611995334137,661.4124252344553,85.31947917657571,108.2392200292394,34->35,0.18215557589120365,0.0,275.14721485397206
EX4,0.25,PV_EVERYWHERE,reactive_support,39.01379956717391,57.88626937419248,59.738109587124335,98.92455673340277,14->34,0.18224375703479462,0.0,348.59328607039214
EX4,0.5,PV_EVERYWHERE,reactive_support,55.75313087647133,138.05150571023697,71.23230287035607,108.23830618446168,14->34,0.1822311597285681,-7.778681275957999e-07,331.8561727217752
EX4,0.75,PV_EVERYWHERE,reactive_support,66.65851901007481,224.0484238198191,77.0702005390082,108.23616151883948,34->35,0.1822185624223387,0.0,320.9507641429523
EX4,1.0,PV_EVERYWHERE,reactive_support,74.73833552513707,312.87093389999995,80.71812481781423,108.23410010698116,34->35,0.18220596511610718,-5.233431704683e-07,312.8709503901147
EX4,1.5,PV_EVERYWHERE,reactive_support,87.21785887786994,494.19604995606085,84.99900715261664,108.2320757730468,34->35,0.18218077050365267,-6.002892665723e-07,300.3914166424351
EX4,2.0,PV_EVERYWHERE,reactive_support,95.26946533950586,679.949080102104,87.71063129233644,108.23850627239328,36->37,0.18215557589120124,0.0,292.33981772214867
